City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Blair,IN,11.6667,92.75,77.04,94,40,0.0,Mist
1,Puerto Ayora,EC,-0.7393,-90.3518,84.16,89,74,5.01,Clouds
2,Port Alfred,ZA,-33.5906,26.891,71.19,95,100,1.01,Rain
3,Khatanga,RU,71.9667,102.5,-8.39,98,100,11.07,Clouds
4,Mataura,NZ,-46.1927,168.8643,55.47,92,99,1.07,Clouds
5,Dakar,SN,14.6937,-17.4441,79.68,83,0,4.61,Clear
6,Tuatapere,NZ,-46.1333,167.6833,54.3,93,99,3.0,Clouds
7,Itarema,BR,-2.9248,-39.9167,81.7,72,5,17.63,Clear
8,Mapiripan,CO,2.8892,-72.1256,84.31,65,96,5.14,Clouds
9,Khudumelapye,BW,-23.8833,24.75,75.38,46,24,7.54,Clouds
10,Contamana,PE,-7.3333,-75.0167,88.29,50,99,2.37,Clouds
11,Punta Arenas,CL,-53.15,-70.9167,57.31,38,0,26.46,Clear
12,Faanui,PF,-16.4833,-151.75,78.04,74,100,4.65,Rain
13,Carnarvon,AU,-24.8667,113.6333,69.28,67,65,23.55,Clouds
14,Rudnogorsk,RU,57.2639,103.7519,8.55,90,100,11.14,Snow
15,Hobart,AU,-42.8794,147.3294,53.46,87,75,5.75,Clouds
16,Husavik,IS,66.0449,-17.3389,20.66,83,23,8.88,Clouds
17,Rikitea,PF,-23.1203,-134.9692,76.28,76,39,16.37,Rain
18,Karratha,AU,-20.7377,116.8463,85.64,28,3,13.29,Clear
19,Kapaa,US,22.0752,-159.319,80.58,68,73,8.01,Rain
20,Pangkalanbuun,ID,-2.6833,111.6167,73.11,93,100,0.94,Clouds
21,Westport,US,41.1415,-73.3579,41.49,53,14,5.99,Clouds
22,Bluff,NZ,-46.6,168.3333,54.21,89,100,7.96,Clouds
23,Cherskiy,RU,68.75,161.3,-26.72,97,100,4.65,Clouds
24,Ushuaia,AR,-54.8,-68.3,51.42,54,56,8.46,Clouds
25,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-1.01,90,30,10.78,Clouds
26,Hobyo,SO,5.3505,48.5268,78.44,70,62,14.63,Clouds
27,Arlit,NE,18.7369,7.3853,73.15,12,0,10.4,Clear
28,Naryan-Mar,RU,67.6713,53.087,-0.17,99,100,4.47,Clouds
29,Biltine,TD,14.5333,20.9167,73.42,12,0,14.67,Clear
30,Ribeira Grande,PT,38.5167,-28.7,66.78,82,40,30.0,Rain
31,Torbay,CA,47.6666,-52.7314,36.57,96,100,18.01,Drizzle
32,Hermanus,ZA,-34.4187,19.2345,67.8,84,100,21.3,Clouds
33,Tiksi,RU,71.6872,128.8694,-15.41,95,100,10.54,Clouds
34,Dogondoutchi,NE,13.6393,4.0287,75.67,13,0,8.9,Clear
35,Gari,RU,59.4307,62.3497,8.6,96,99,5.21,Clouds
36,Lebu,CL,-37.6167,-73.65,64.11,66,0,14.88,Clear
37,Lynn Haven,US,30.2455,-85.6483,77.0,73,61,3.0,Clouds
38,Chuy,UY,-33.6971,-53.4616,74.66,62,94,13.49,Clouds
39,Vaini,TO,-21.2,-175.2,80.76,83,75,8.05,Rain
40,Dikson,RU,73.5069,80.5464,-3.51,100,96,5.32,Clouds
41,Butaritari,KI,3.0707,172.7902,81.43,78,87,14.88,Rain
42,Bredasdorp,ZA,-34.5322,20.0403,66.43,85,100,17.22,Clouds
43,Hambantota,LK,6.1241,81.1185,76.98,86,96,13.09,Clouds
44,Quatre Cocos,MU,-20.2078,57.7625,77.09,80,45,10.94,Clouds
45,Kodiak,US,57.79,-152.4072,28.89,78,100,6.53,Clouds
46,Guazapa,SV,13.8769,-89.1731,83.05,45,3,0.22,Clear
47,Bengkulu,ID,-3.8004,102.2655,74.88,91,100,7.07,Clouds
48,Albany,US,42.6001,-73.9662,32.65,60,0,2.84,Clear
49,Lagoa,PT,39.05,-27.9833,64.13,75,7,30.36,Clear
50,Georgetown,MY,5.4112,100.3354,77.23,94,20,3.44,Clouds
51,Katsuura,JP,35.1333,140.3,55.94,71,31,10.87,Clouds
52,Poya,NC,-21.35,165.15,79.48,81,33,1.88,Rain
53,Busselton,AU,-33.65,115.3333,49.84,87,0,10.25,Clear
54,Abbeville,FR,50.1,1.8333,36.25,95,100,5.3,Snow
55,Hilo,US,19.7297,-155.09,77.11,79,72,1.99,Rain
56,Saskylakh,RU,71.9167,114.0833,-9.89,98,100,5.46,Clouds
57,Nikolskoye,RU,59.7035,30.7861,24.69,100,100,2.57,Clouds
58,Upernavik,GL,72.7868,-56.1549,22.78,94,100,13.0,Snow
59,Solnechnyy,RU,50.7214,136.6319,-1.62,95,28,3.53,Clouds
60,Abaza,RU,52.655,90.0928,3.63,94,100,3.98,Clouds
61,Havoysund,NO,70.9963,24.6622,25.03,83,39,12.59,Clouds
62,Mount Isa,AU,-20.7333,139.5,71.37,28,0,2.3,Clear
63,Tasiilaq,GL,65.6145,-37.6368,14.49,60,54,5.1,Clouds
64,Bethel,US,41.3712,-73.414,40.89,55,0,1.01,Clear
65,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,84,75,12.66,Clouds
66,Vostok,RU,46.4856,135.8833,0.68,98,100,4.12,Clouds
67,New Norfolk,AU,-42.7826,147.0587,53.1,72,99,2.21,Clouds
68,Longyearbyen,SJ,78.2186,15.6401,24.64,80,75,2.3,Clouds
69,Vuktyl,RU,63.8567,57.3094,-20.76,98,71,3.09,Clouds
70,Provideniya,RU,64.3833,-173.3,30.92,97,100,19.15,Snow
71,Thompson,CA,55.7435,-97.8558,21.36,86,100,3.44,Snow
72,Khuldabad,IN,20.05,75.1833,61.65,31,24,6.02,Clouds
73,Cape Town,ZA,-33.9258,18.4232,74.1,70,0,15.01,Clear
74,Hofn,IS,64.2539,-15.2082,31.06,45,0,6.11,Clear
75,Saint George,US,37.1041,-113.5841,46.44,57,0,4.61,Clear
76,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,78,0,17.27,Clear
77,Richards Bay,ZA,-28.783,32.0377,73.65,91,100,2.77,Rain
78,Yellowknife,CA,62.456,-114.3525,-1.68,78,100,5.75,Snow
79,Aquiraz,BR,-3.9014,-38.3911,86.09,72,17,12.06,Clouds
80,Yeppoon,AU,-23.1333,150.7333,73.18,80,87,13.33,Clouds
81,Ocos,GT,14.5094,-92.1933,81.84,67,0,6.44,Clear
82,Pajapan,MX,18.25,-94.7,77.22,72,18,5.75,Rain
83,Severo-Kurilsk,RU,50.6789,156.125,24.03,68,100,5.12,Clouds
84,Agirish,RU,61.9247,63.0231,-14.73,96,67,2.48,Clouds
85,Broken Hill,AU,-31.95,141.4333,74.08,27,21,4.47,Clouds
86,Beringovskiy,RU,63.05,179.3167,23.54,95,100,15.48,Snow
87,Varhaug,NO,58.6147,5.6457,31.89,62,50,11.1,Clouds
88,Giyani,ZA,-23.3025,30.7187,75.97,61,0,3.78,Clear
89,Berlevag,NO,70.8578,29.0864,24.75,74,100,9.22,Clouds
90,Meadow Lake,US,34.8014,-106.5436,57.69,36,0,4.38,Clear
91,Mancora,PE,-4.1078,-81.0475,75.7,68,8,9.19,Clear
92,Constitucion,CL,-35.3333,-72.4167,69.73,51,0,21.72,Clear
93,Leningradskiy,RU,69.3833,178.4167,-4.74,96,100,4.97,Clouds
94,Teguise,ES,29.0605,-13.564,66.42,83,20,3.44,Clouds
95,Airai,TL,-8.9266,125.4092,59.34,70,95,2.06,Clouds
96,Cuiluan,CN,47.72,128.648,-4.67,100,44,3.4,Clouds
97,Escanaba,US,45.7453,-87.0646,34.11,88,100,1.01,Clouds
98,Meulaboh,ID,4.1363,96.1285,75.76,88,100,9.64,Rain
99,Vallenar,CL,-28.5708,-70.7581,83.35,40,7,11.16,Clear
100,Bambous Virieux,MU,-20.3428,57.7575,77.22,88,75,6.91,Clouds
101,Aloleng,PH,16.1307,119.7824,79.11,82,89,17.6,Clouds
102,Mareeba,AU,-17.0,145.4333,73.44,95,92,2.37,Clouds
103,Pacific Grove,US,36.6177,-121.9166,58.66,93,100,31.0,Clouds
104,Saint-Joseph,RE,-21.3667,55.6167,77.38,85,34,10.29,Rain
105,Praya,CV,14.9215,-23.5087,79.34,47,20,11.5,Clouds
106,Itaituba,BR,-4.2761,-55.9836,93.36,52,20,0.0,Clouds
107,Maceio,BR,-9.6658,-35.7353,81.84,78,20,13.8,Clouds
108,Jamestown,US,42.097,-79.2353,41.02,27,100,5.01,Clouds
109,Mildura,AU,-34.2,142.15,68.07,53,76,10.25,Rain
110,San Patricio,US,28.017,-97.5169,82.49,64,92,13.62,Clouds
111,Muros,ES,42.7762,-9.0603,46.09,91,100,3.38,Rain
112,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,21,40,25.32,Clouds
113,Tevaitoa,PF,-16.7833,-151.5,78.12,73,100,4.32,Rain
114,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,99,20,3.44,Clouds
115,Rock Springs,US,41.5875,-109.2029,29.23,62,51,0.81,Clouds
116,Mayo,US,38.8876,-76.5119,47.17,66,75,6.91,Clouds
117,Pasni,PK,25.2631,63.471,73.04,63,0,8.03,Clear
118,Thunder Bay,CA,48.4001,-89.3168,31.98,80,100,8.05,Snow
119,Guerrero Negro,MX,27.9769,-114.0611,68.85,26,0,11.07,Clear
120,Kruisfontein,ZA,-34.0033,24.7314,69.89,96,100,3.38,Clouds
121,Avarua,CK,-21.2078,-159.775,77.05,69,75,10.36,Clouds
122,Atuona,PF,-9.8,-139.0333,76.73,77,18,13.4,Clouds
123,Taltal,CL,-25.4,-70.4833,68.0,71,100,2.75,Clouds
124,Hithadhoo,MV,-0.6,73.0833,81.19,78,100,12.8,Clouds
125,Klaksvik,FO,62.2266,-6.589,38.32,68,99,26.46,Rain
126,Barrow,US,71.2906,-156.7887,0.19,94,24,8.61,Clouds
127,Takoradi,GH,4.8845,-1.7554,80.58,81,17,7.7,Clouds
128,Novyy Oskol,RU,50.7631,37.8691,39.52,93,100,17.58,Clouds
129,Warrnambool,AU,-38.3833,142.4833,61.21,69,100,6.31,Clouds
130,Zeya,RU,53.75,127.2667,-18.06,100,87,1.54,Clouds
131,Kawalu,ID,-7.3817,108.2082,71.06,95,99,1.23,Clouds
132,Baruun-Urt,MN,46.6806,113.2792,0.86,75,10,12.77,Clear
133,Hasaki,JP,35.7333,140.8333,39.6,75,11,9.64,Clouds
134,Srednekolymsk,RU,67.45,153.6833,-42.81,98,94,8.57,Clouds
135,Ahipara,NZ,-35.1667,173.1667,66.67,93,100,3.49,Rain
136,Pevek,RU,69.7008,170.3133,-12.08,94,100,13.42,Clouds
137,Mogadishu,SO,2.0371,45.3438,79.92,75,99,14.25,Clouds
138,Amga,RU,60.8953,131.9608,-18.54,99,100,0.49,Clouds
139,The Valley,AI,18.217,-63.0578,82.81,69,3,10.4,Clear
140,Port Hardy,CA,50.6996,-127.4199,40.64,87,97,12.08,Clouds
141,Deming,US,32.2687,-107.7586,58.8,25,0,4.0,Clear
142,Soyo,AO,-6.1349,12.3689,79.07,86,100,6.8,Clouds
143,Chapais,CA,49.7834,-74.8492,9.18,85,82,6.29,Clouds
144,Olafsvik,IS,64.8945,-23.7142,33.22,66,0,7.7,Clear
145,Kochubey,RU,44.3861,46.5825,45.73,77,98,23.67,Clouds
146,Pisco,PE,-13.7,-76.2167,73.02,79,30,7.16,Clouds
147,Kachug,RU,53.9606,105.8817,1.45,87,100,2.04,Clouds
148,Esperance,AU,-33.8667,121.9,57.72,68,60,13.11,Clouds
149,Opuwo,NA,-18.0607,13.84,70.34,33,1,9.64,Clear
150,Morehead,US,37.2711,-87.1764,49.98,99,100,1.99,Clouds
151,Oktyabrskoye,RU,43.0645,44.7417,23.14,100,0,4.47,Fog
152,Te Anau,NZ,-45.4167,167.7167,52.7,89,86,0.58,Clouds
153,Ambon,ID,-3.6954,128.1814,79.23,14,40,8.05,Clouds
154,Touros,BR,-5.1989,-35.4608,81.36,73,27,12.3,Clouds
155,Bandarbeyla,SO,9.4942,50.8122,77.59,69,100,19.62,Clouds
156,Saint-Philippe,RE,-21.3585,55.7679,78.39,87,40,10.69,Rain
157,Geraldton,AU,-28.7667,114.6,57.61,77,0,10.36,Clear
158,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,71.33,97,100,7.87,Rain
159,Qaqortoq,GL,60.7167,-46.0333,14.72,66,0,8.16,Clear
160,Veracruz,MX,19.3333,-96.6667,80.02,42,0,5.77,Clear
161,Atambua,ID,-9.1061,124.8925,72.41,83,79,3.62,Clouds
162,Kattivakkam,IN,13.2167,80.3167,77.09,83,94,11.16,Clouds
163,Port Elizabeth,ZA,-33.918,25.5701,72.32,97,100,9.22,Drizzle
164,Lavrentiya,RU,65.5833,-171.0,27.43,95,100,34.09,Snow
165,Ancud,CL,-41.8697,-73.8203,60.71,73,11,11.88,Clouds
166,Bontang,ID,0.1333,117.5,75.67,89,19,5.61,Clouds
167,Abhar,IR,36.1468,49.218,31.64,83,34,1.36,Clouds
168,Tiarei,PF,-17.5333,-149.3333,84.22,74,96,6.96,Clouds
169,Vestmannaeyjar,IS,63.4427,-20.2734,32.94,69,8,5.84,Clear
170,Lompoc,US,34.6391,-120.4579,60.94,91,100,17.27,Clouds
171,Saint-Dizier,FR,48.4167,5.0833,26.2,87,29,1.34,Clouds
172,Porto Santo,PT,33.072,-16.3415,71.98,78,20,23.02,Rain
173,Flinders,AU,-34.5833,150.8552,57.25,79,3,6.13,Clear
174,Eureka,US,40.8021,-124.1637,56.01,82,99,10.0,Clouds
175,Korla,CN,41.7597,86.1469,22.3,29,0,7.94,Clear
176,Basco,PH,20.4487,121.9702,78.3,73,53,21.32,Clouds
177,Sudbury,CA,46.49,-80.99,21.06,75,99,7.0,Clouds
178,Iqaluit,CA,63.7506,-68.5145,-11.34,84,2,13.58,Clear
179,Shubarshi,KZ,48.5872,57.1869,6.85,90,5,5.91,Clear
180,Fortuna,US,40.5982,-124.1573,55.74,83,75,8.05,Rain
181,Gimbi,ET,9.1667,35.8333,58.44,63,44,3.2,Clouds
182,Mount Gambier,AU,-37.8333,140.7667,54.66,84,55,2.93,Clouds
183,Glendive,US,47.1053,-104.7125,25.18,81,64,3.02,Clouds
184,Raciborz,PL,50.0919,18.2193,33.22,99,100,10.31,Snow
185,Cockburn Town,TC,21.4612,-71.1419,78.93,66,5,15.32,Clear
186,Sakaiminato,JP,35.55,133.2333,51.62,80,100,12.21,Rain
187,Kisangani,CD,0.5167,25.2,73.04,89,99,1.5,Rain
188,Norman Wells,CA,65.282,-126.8329,-12.96,77,75,4.61,Clouds
189,Lujan,AR,-34.5703,-59.105,88.95,39,0,5.01,Clear
190,San Cristobal,VE,7.7669,-72.225,75.25,70,97,1.21,Clouds
191,Rio Rancho,US,35.2334,-106.6645,58.35,34,0,4.61,Clear
192,Qaanaaq,GL,77.484,-69.3632,1.85,95,100,0.92,Snow
193,Aklavik,CA,68.2191,-135.0107,-11.22,99,62,6.76,Clouds
194,Coos Bay,US,43.3665,-124.2179,48.24,100,100,10.36,Mist
195,Orcopampa,PE,-15.2661,-72.3417,63.28,33,94,1.41,Clouds
196,Mercedes,AR,-34.6515,-59.4307,88.79,22,1,15.48,Clear
197,Gat,IL,31.61,34.7642,61.39,60,2,4.36,Clear
198,Cidreira,BR,-30.1811,-50.2056,76.37,84,100,9.15,Clouds
199,Hualmay,PE,-11.0964,-77.6139,70.05,77,93,8.19,Clouds
200,Mar Del Plata,AR,-38.0023,-57.5575,88.83,62,0,8.01,Clear
201,Mecca,SA,21.4267,39.8261,78.69,51,87,2.19,Clouds
202,Mnogovershinnyy,RU,53.9353,139.9242,-7.74,95,98,3.62,Clouds
203,Burnie,AU,-41.0667,145.9167,51.94,87,100,10.85,Clouds
204,Souillac,MU,-20.5167,57.5167,76.08,82,40,10.4,Clouds
205,Puerto Carreno,CO,6.189,-67.4859,85.39,58,74,6.49,Clouds
206,Shikarpur,PK,27.9571,68.6379,64.89,37,0,7.49,Clear
207,Preobrazheniye,RU,42.9019,133.9064,19.49,62,0,8.72,Clear
208,Santa Rosa,PH,14.3122,121.1114,79.11,97,100,2.37,Rain
209,Dhidhdhoo,MV,6.8833,73.1,81.79,68,9,15.17,Clear
210,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,84,23,23.87,Clouds
211,Havre-Saint-Pierre,CA,50.2334,-63.5986,16.09,57,0,17.98,Clear
212,Kudahuvadhoo,MV,2.6708,72.8944,81.05,81,84,14.94,Clouds
213,Bull Savanna,JM,17.8868,-77.5902,79.41,55,0,6.42,Clear
214,Alyangula,AU,-13.8483,136.4192,82.9,70,81,11.27,Clouds
215,Belyy Yar,RU,53.6039,91.3903,12.09,69,0,15.66,Clear
216,Sakakah,SA,29.9697,40.2064,59.67,49,0,6.91,Clear
217,Castro,BR,-24.7911,-50.0119,75.97,73,84,6.76,Clouds
218,Chokurdakh,RU,70.6333,147.9167,-18.53,98,100,11.48,Clouds
219,Lysva,RU,58.1086,57.8053,16.48,94,100,7.85,Snow
220,Kidal,ML,18.4411,1.4078,73.11,12,0,9.22,Clear
221,Ulaangom,MN,49.9811,92.0667,-10.32,100,100,0.49,Clouds
222,Quelimane,MZ,-17.8786,36.8883,76.78,83,0,3.18,Clear
223,Casambalangan,PH,18.3765,122.1274,76.23,79,100,8.61,Rain
224,Tilichiki,RU,60.4667,166.1,-10.39,96,44,3.33,Clouds
225,Asau,RO,46.4333,26.4,43.72,85,99,1.14,Clouds
226,Sooke,CA,48.3746,-123.7276,48.09,100,99,5.95,Clouds
227,Belmonte,BR,-15.8631,-38.8828,79.03,85,96,9.82,Clouds
228,Isangel,VU,-19.55,169.2667,79.07,85,100,6.44,Clouds
229,Pochutla,MX,15.7432,-96.4661,86.83,42,0,7.85,Clear
230,Kutum,SD,14.2,24.6667,60.42,19,0,9.08,Clear
231,Flin Flon,CA,54.7682,-101.865,19.9,90,69,3.36,Clouds
232,Ayer Tawar,MY,4.2954,100.7548,72.52,97,100,2.39,Clouds
